keys,dotall,ignorecase,values
D. ARIZ.,TRUE,TRUE,DISTRICT OF ARIZONA
D. COLO.,TRUE,TRUE,DISTRICT OF COLORADO
D. CONN.,TRUE,TRUE,DISTRICT OF CONNECTICUT
D.D.C.,TRUE,TRUE,DISTRICT OF DISTRICT OF COLUMBIA
D. DEL.,TRUE,TRUE,DISTRICT OF DELAWARE
D. GUAM,TRUE,TRUE,DISTRICT OF GUAM
D. HAW.,TRUE,TRUE,DISTRICT OF HAWAII
D. IDAHO,TRUE,TRUE,DISTRICT OF IDAHO
D. KAN.,TRUE,TRUE,DISTRICT OF KANSAS
D. ME.,TRUE,TRUE,DISTRICT OF MAINE
D. MD.,TRUE,TRUE,DISTRICT OF MARYLAND
D. MASS.,TRUE,TRUE,DISTRICT OF MASSACHUSETTS
D. MINN.,TRUE,TRUE,DISTRICT OF MINNESOTA
D. MONT.,TRUE,TRUE,DISTRICT OF MONTANA
D. NEB.,TRUE,TRUE,DISTRICT OF NEBRASKA
D. NEV.,TRUE,TRUE,DISTRICT OF NEVADA
D.N.H.,TRUE,TRUE,DISTRICT OF NEW HAMPSHIRE
D.N.J.,TRUE,TRUE,DISTRICT OF NEW JERSEY
D.N.M.,TRUE,TRUE,DISTRICT OF NEW MEXICO
D.N.D.,TRUE,TRUE,DISTRICT OF NORTH DAKOTA
D. OR.,TRUE,TRUE,DISTRICT OF OREGON
D.P.R.,TRUE,TRUE,DISTRICT OF PUERTO RICO
D.R.I.,TRUE,TRUE,DISTRICT OF RHODE ISLAND
D.S.C.,TRUE,TRUE,DISTRICT OF SOUTH CAROLINA
D.S.D.,TRUE,TRUE,DISTRICT OF SOUTH DAKOTA
D.C.Z.,TRUE,TRUE,DISTRICT OF THE CANAL ZONE
D.N. MAR. IS.,TRUE,TRUE,DISTRICT OF THE NORTHERN MARIANA ISLANDS
D.V.I.,TRUE,TRUE,DISTRICT OF THE VIRGIN ISLANDS
D. UTAH,TRUE,TRUE,DISTRICT OF UTAH
D. VT.,TRUE,TRUE,DISTRICT OF VERMONT
D. WYO.,TRUE,TRUE,DISTRICT OF WYOMING
